,name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_percentage,ranking_per_event_B
0,Akiyo Noguchi,JPN,2253,167.0,61120.0,85,242,83,74,21,18,18,809,970,1297,1515,1053,0.768281101614435,719.06
1,Anna Stöhr,AUT,1211,,44686.33,63,174,59,52,21,10,9,573,705,1009,1087,759,0.7549407114624506,709.31
2,Shauna Coxsey,GBR,636,164.0,35602.75,51,144,49,44,11,12,7,463,566,783,891,627,0.7384370015948963,698.09
3,Miho Nonaka,JPN,2294,163.0,31778.0,52,139,50,37,4,11,10,431,548,807,946,608,0.7088815789473685,611.12
4,Alex Puccio,USA,1710,,22926.25,39,107,39,29,2,5,8,334,417,560,637,467,0.715203426124197,587.85
5,Melissa Le Neve,FRA,454,,22839.0,53,122,48,21,0,4,6,348,483,533,725,541,0.6432532347504621,430.92
6,Katharina Saurwein,AUT,1209,,22311.91,68,136,54,14,1,2,0,331,504,615,873,612,0.5408496732026143,328.12
7,Juliane Wurm,GER,2823,,21894.83,44,106,40,22,3,2,6,326,420,584,671,468,0.6965811965811965,497.61
8,Petra Klingler,SUI,3246,162.0,21681.57,70,133,49,14,2,0,0,322,516,627,919,602,0.5348837209302325,309.74
9,Janja Garnbret,SLO,1147,164.0,21520.0,24,71,24,23,16,5,0,282,297,466,419,308,0.9155844155844156,896.67
10,Fanny Gibert,FRA,469,165.0,20974.33,55,112,42,15,0,3,3,295,427,605,824,503,0.5864811133200796,381.35
11,Natalia Grossman,USA,1803,162.0,15059.0,21,55,19,15,10,3,1,188,228,373,406,241,0.7800829875518672,717.1
12,Stasa Gejo,SRB,3840,175.0,14925.5,37,84,31,16,0,0,5,219,321,452,562,373,0.5871313672922251,403.39
13,Mina Markovic,SLO,1122,,14586.99,39,84,32,13,2,1,0,223,315,392,500,375,0.5946666666666667,374.03
14,Monika Retschy,GER,2013,,11853.5,48,85,33,4,0,1,0,182,322,312,539,388,0.4690721649484536,246.95
15,Sol Sa,KOR,2047,,11823.5,50,90,37,3,0,0,0,206,332,467,724,410,0.5024390243902439,236.47
16,Jain Kim,KOR,2035,,11642.33,35,71,24,12,1,1,4,182,253,369,518,319,0.5705329153605015,332.64
17,Mélanie Sandoz,FRA,443,,11640.83,49,83,30,4,1,0,0,189,308,326,497,381,0.49606299212598426,237.57
18,Alex Johnson,USA,4755,,11242.0,30,59,22,7,2,2,0,153,235,263,370,266,0.575187969924812,374.73
19,Katja Debevec,SLO,1130,173.0,10934.16,42,77,27,8,0,0,0,157,290,320,581,350,0.44857142857142857,260.34
20,Anne-Laure Chevrier,FRA,439,,10708.0,36,70,30,4,0,0,0,154,259,249,407,316,0.4873417721518987,297.44
21,Futaba Ito,JPN,2357,162.0,10257.66,27,60,24,9,0,0,0,153,229,351,480,267,0.5730337078651685,379.91
22,Brooke Raboutou,USA,1811,158.0,10251.0,23,49,16,10,1,1,7,142,193,315,393,219,0.6484018264840182,445.7
23,Chloe Caulier,BEL,316,166.0,9765.32,53,79,24,2,0,1,0,181,297,388,584,369,0.4905149051490515,184.25
24,Jessica Pilz,AUT,1226,165.0,9616.0,28,58,24,6,0,0,1,150,226,355,470,260,0.5769230769230769,343.43
25,Natalija Gros,SLO,1119,,9487.0,20,49,18,11,0,2,1,143,186,197,260,216,0.6620370370370371,474.35
26,Yulia Abramchuk,RUS,43,,9347.0,22,51,19,10,0,2,3,152,196,245,296,226,0.672566371681416,424.86
27,Vera Zijlstra,NED,3578,,9108.16,75,102,26,1,0,0,0,182,356,409,768,483,0.37681159420289856,121.44
28,Cecile Avezou,FRA,427,,9001.32,34,63,24,5,0,0,0,144,225,245,375,286,0.5034965034965035,264.74
29,Chloé Graftiaux,BEL,309,,8890.0,19,43,18,6,2,1,1,124,172,180,242,191,0.6492146596858639,467.89
30,Momoka Oda,JPN,2263,,8488.83,22,46,19,5,0,2,0,127,163,203,241,206,0.616504854368932,385.86
31,Oriane Bertone,FRA,11462,164.0,8224.5,15,35,12,8,1,6,0,93,142,178,229,155,0.6,548.3
