,name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_percentage,ranking_per_event_B
32,Aya Onoe,JPN,2268,,8166.5,37,65,24,4,0,0,0,136,214,282,426,297,0.45791245791245794,220.72
33,Megan Mascarenas,USA,1768,,6479.16,14,33,12,7,2,0,2,90,123,152,198,146,0.6164383561643836,462.8
34,Anna Gallyamova,RUS,4761,,6453.0,24,46,18,4,0,0,1,121,172,245,315,208,0.5817307692307693,268.88
35,Leah Crane,GBR,632,,6381.66,32,50,17,1,0,0,0,95,170,167,290,232,0.40948275862068967,199.43
36,Jenny Lavarda,ITA,848,,6224.0,26,46,16,4,0,0,0,113,171,235,301,210,0.5380952380952381,239.38
37,Berit Schwaiger,AUT,1223,,6198.33,32,53,21,0,0,0,0,108,183,229,356,244,0.4426229508196721,193.7
38,Hannah Meul,GER,3113,167.0,6099.0,25,41,13,3,0,3,0,88,157,168,287,189,0.4656084656084656,243.96
39,Alannah Yip,CAN,1565,164.0,5937.66,36,54,17,1,0,0,0,99,197,213,385,252,0.39285714285714285,164.94
40,Olga Shalagina,UKR,4756,,5883.16,17,34,13,4,0,0,2,93,127,140,190,153,0.6078431372549019,346.07
41,Michaela Tracy,GBR,635,,5603.5,23,39,15,1,0,0,0,92,152,204,327,179,0.5139664804469274,243.63
42,Julija Kruder,SLO,1137,,5555.33,32,49,15,2,0,0,0,92,183,199,380,228,0.40350877192982454,173.6
43,Sabine Bacher,AUT,1205,,5437.83,34,52,17,1,0,0,0,107,183,188,311,242,0.44214876033057854,159.94
44,Olga Bibik,RUS,41,,5355.49,20,37,15,2,0,0,0,95,140,141,188,168,0.5654761904761905,267.77
45,Alma Bestvater,GER,4328,161.0,5303.91,32,47,12,3,0,0,0,92,172,220,394,220,0.41818181818181815,165.75
46,Katja Vidmar,SLO,1120,,5136.0,16,33,14,3,0,2,0,81,130,133,198,148,0.5472972972972973,321.0
47,Kyra Condie,USA,1750,162.0,5090.16,29,42,11,2,0,0,0,93,161,294,371,197,0.4720812182741117,175.52
48,Mina Leslie-Wujastyk,GBR,638,,5072.5,26,41,14,1,0,0,0,93,147,164,245,190,0.48947368421052634,195.1
49,Camilla Moroni,ITA,947,157.0,5062.66,18,35,14,3,0,1,0,90,135,245,394,158,0.569620253164557,281.26
50,Franziska Sterrer,AUT,1240,169.0,5062.5,31,49,17,1,0,0,0,105,186,280,455,227,0.46255506607929514,163.31
51,Ekaterina Kipriianova,RUS,55,,5031.5,23,38,12,3,0,0,1,87,141,145,230,175,0.49714285714285716,218.76
52,Maud Ansade,FRA,4757,,4942.5,17,33,13,3,0,0,0,79,124,114,187,149,0.5302013422818792,290.74
53,Johanna Färber,AUT,1243,171.0,4877.24,33,49,13,3,0,0,0,94,174,215,383,229,0.4104803493449782,147.8
54,Ayala Kerem,ISR,4017,163.0,4838.5,16,31,12,3,0,0,0,82,116,247,300,140,0.5857142857142857,302.41
55,Alexandra Balakireva,RUS,4758,,4810.5,17,32,14,1,1,0,0,83,127,125,194,145,0.5724137931034483,282.97
56,Ievgeniia Kazbekova,UKR,1486,164.0,4569.5,28,41,12,1,0,0,0,95,148,227,314,192,0.4947916666666667,163.2
57,Marine Thévenet,FRA,446,,4501.0,15,30,12,3,0,0,0,72,107,148,185,135,0.5333333333333333,300.07
58,Mei Kotake,JPN,2278,155.0,4484.0,24,40,14,2,0,0,0,78,129,204,271,184,0.42391304347826086,186.83
59,Yana Chereshneva,RUS,58,,4285.0,14,28,11,3,0,0,0,75,109,124,197,126,0.5952380952380952,306.07
60,Angelica Lind,SWE,2664,,4043.0,11,26,10,5,0,0,1,64,99,124,175,115,0.5565217391304348,367.55
61,Afra Hönig,GER,3354,165.0,3974.74,35,47,11,1,0,0,0,78,164,168,350,223,0.34977578475336324,113.56
62,Clementine Kaiser,FRA,460,,3810.0,21,32,9,2,0,0,0,67,115,101,172,149,0.44966442953020136,181.43
63,Sierra Blair-Coyle,USA,1714,,3696.5,30,41,11,0,0,0,0,73,136,191,268,194,0.37628865979381443,123.22
64,Olga Iakovleva,RUS,44,,3626.16,14,24,9,1,0,1,0,62,92,131,179,110,0.5636363636363636,259.01
65,Chaehyun Seo,KOR,2080,163.0,3597.0,13,24,8,3,0,1,0,62,92,143,202,109,0.5688073394495413,276.69
66,Oceania Mackenzie,AUS,2501,173.0,3554.41,15,27,10,2,0,0,0,57,100,127,195,123,0.4634146341463415,236.96
67,Mao Nakamura,JPN,2327,156.0,3487.5,17,29,11,1,0,0,0,55,99,139,223,133,0.41353383458646614,205.15
68,Angela Payne,USA,5879,,3477.83,13,25,10,2,0,0,0,55,94,120,188,113,0.48672566371681414,267.53
69,Diane Merrick,GBR,4763,,3351.6899999999996,43,51,7,1,0,0,0,73,166,147,324,247,0.29554655870445345,77.95
70,Andrea Kümin,SUI,3254,164.0,3133.06,27,34,5,2,0,0,1,65,126,146,252,163,0.3987730061349693,116.04
71,Barbara Bacher,AUT,1202,,3085.9,20,27,6,1,0,0,0,67,95,130,176,128,0.5234375,154.3
72,Hung Ying Lee,TPE,2139,,3018.33,33,42,9,0,0,0,0,77,146,204,352,201,0.38308457711442784,91.46
73,Lucka Rakovec,SLO,1160,170.0,3009.0,11,21,9,1,0,0,0,43,75,112,180,95,0.45263157894736844,273.55
74,Karoline Sinnhuber,AUT,1225,,2826.0,20,29,8,1,0,0,0,48,95,104,206,136,0.35294117647058826,141.3
75,Flavy Cohaut,FRA,553,,2779.0,16,24,7,1,0,0,1,50,91,139,214,112,0.44642857142857145,173.69
76,Hannah Midtboe,NOR,3059,,2744.66,22,30,7,1,0,0,0,73,114,162,228,142,0.5140845070422535,124.76
77,Zhilu Luo,CHN,13596,160.0,2696.4,9,17,5,3,0,0,1,42,67,88,120,77,0.5454545454545454,299.6
78,Giorgia Tesio,ITA,914,165.0,2671.16,19,26,7,0,0,0,0,57,102,148,238,123,0.4634146341463415,140.59
79,Vita Lukan,SLO,1153,164.0,2626.4,14,22,7,1,0,0,0,48,76,129,189,102,0.47058823529411764,187.6
80,Alizée Dufraisse,FRA,442,,2624.5,13,21,7,1,0,0,0,43,72,74,111,97,0.44329896907216493,201.88
81,Tatiana Shemulinkina ,RUS,50,,2565.0,16,23,7,0,0,0,0,52,89,122,180,108,0.48148148148148145,160.31
82,Ai Mori,JPN,2380,,2495.5,7,15,5,3,0,0,1,36,51,81,105,67,0.5373134328358209,356.5
83,Mia Krampl,SLO,1161,163.0,2489.5,14,21,5,2,0,0,1,41,73,78,184,98,0.41836734693877553,177.82
84,Kylie Cullen,USA,12537,165.0,2456.0,17,26,9,0,0,0,0,49,93,122,205,121,0.4049586776859504,144.47
85,Nanako Kura,JPN,2343,160.0,2383.75,23,30,7,0,0,0,0,52,108,127,228,143,0.36363636363636365,103.64
86,Charlotte Durif,FRA,445,,2370.0,8,16,7,1,0,1,0,35,61,69,112,72,0.4861111111111111,296.25
87,Silvie Rajfova,CZE,1360,,2369.5,22,28,5,1,0,0,0,46,93,90,155,134,0.34328358208955223,107.7
88,Rebekka Stotz,SUI,3247,,2355.5,17,22,4,1,0,0,0,49,80,100,140,105,0.4666666666666667,138.56
89,Lilli  Kiesgen,GER,2795,,2326.5,21,26,5,0,0,0,0,45,91,99,183,125,0.36,110.79
90,Anon Matsufuji,JPN,12297,160.0,2325.0,10,16,4,2,0,0,1,34,64,74,145,74,0.4594594594594595,232.5
91,Yuka Kobayashi,JPN,2251,,2313.16,12,19,7,0,0,0,0,35,65,67,127,88,0.3977272727272727,192.76
92,Katharina Posch,AUT,1222,,2242.33,13,21,8,0,0,0,0,43,74,105,163,97,0.44329896907216493,172.49
93,Julia Chanourdie,FRA,466,164.0,2241.25,13,22,7,2,0,0,0,35,73,77,144,101,0.3465346534653465,172.4
94,Laura Rogora,ITA,928,152.0,2165.49,21,27,6,0,0,0,0,53,95,147,258,129,0.4108527131782946,103.12
95,Elena Krasovskaia,RUS,144,169.0,2069.49,14,21,5,2,0,0,0,37,70,96,162,98,0.37755102040816324,147.82
96,Dinara Fakhritdinova,RUS,68,152.0,2045.16,11,17,4,2,0,0,0,37,57,69,124,79,0.46835443037974683,185.92
97,Anastasia Sanders,USA,13021,,2025.0,6,12,5,1,0,0,0,31,47,98,154,54,0.5740740740740741,337.5
98,Viktoriia Meshkova,RUS,147,161.0,2011.5,10,14,3,1,1,0,0,35,54,93,125,66,0.5303030303030303,201.15
99,Elnaz Rekabi,IRI,3465,,1984.0,17,23,6,0,0,0,0,46,86,112,202,109,0.42201834862385323,116.71
100,Margo Hayes,USA,1753,,1947.0,15,23,7,1,0,0,0,42,75,97,174,107,0.3925233644859813,129.8
101,Cloe Coscoy,USA,11813,,1932.1599999999999,13,19,6,0,0,0,0,41,70,104,171,89,0.4606741573033708,148.63
102,Alexandra Eyer,SUI,4535,,1891.5,11,17,5,1,0,0,0,36,68,59,88,79,0.45569620253164556,171.95
103,Mia Aoyagi,JPN,13321,,1878.16,11,17,5,1,0,0,0,39,65,98,146,79,0.4936708860759494,170.74
104,Sofya Yokoyama,SUI,4260,,1804.6499999999999,28,32,4,0,0,0,0,57,126,161,342,156,0.36538461538461536,64.45
105,Johanna Ernst,AUT,1219,,1804.5,6,11,4,1,0,0,0,33,45,64,69,50,0.66,300.75
106,Rong Jiang,CHN,2935,,1784.6599999999999,22,29,7,0,0,0,0,27,79,68,172,138,0.1956521739130435,81.12
107,Sandra Lettner,AUT,1270,161.0,1750.0,14,19,4,1,0,0,0,36,73,84,175,90,0.4,125.0
108,Lucia Dörffel,GER,4330,165.0,1712.9899999999998,16,21,4,1,0,0,0,40,72,94,158,100,0.4,107.06
109,Juliette Danion,FRA,5280,,1665.0,4,10,4,2,0,0,0,23,33,28,46,44,0.5227272727272727,416.25
110,Elise Sethna,CAN,1568,,1612.83,17,22,5,0,0,0,0,21,54,40,111,105,0.2,94.87
111,Therese Johannesen,NOR,5788,,1579.5,6,11,5,0,0,0,0,31,45,55,65,50,0.62,263.25
112,Stacey Weldon,CAN,1557,,1565.66,11,16,5,0,0,0,0,19,46,40,97,75,0.25333333333333335,142.33
113,Tiffany Hensley,USA,5874,,1518.0,5,9,3,1,0,0,0,12,32,14,57,41,0.2926829268292683,303.6
114,Elizabeth Asher,USA,5295,,1485.5,8,14,6,0,0,0,0,22,50,51,113,64,0.34375,185.69
115,Selma Elhadj Mimoune,FRA,12451,,1479.0,6,11,5,0,0,0,0,25,40,51,71,50,0.5,246.5
116,Madison Fischer,CAN,1629,,1437.0,16,19,3,0,0,0,0,32,72,72,160,92,0.34782608695652173,89.81
117,Emily Phillips,GBR,693,170.0,1402.1599999999999,12,17,5,0,0,0,0,29,57,60,124,80,0.3625,116.85
118,Roxana Wienand,GER,4320,162.0,1344.6599999999999,16,19,3,0,0,0,0,38,71,99,205,92,0.41304347826086957,84.04
119,Zélia Avezou,FRA,620,158.0,1340.9099999999999,7,10,2,1,0,0,0,26,40,67,83,47,0.5531914893617021,191.56
120,Meagan Martin,USA,1708,,1304.25,14,19,5,0,0,0,0,22,58,68,157,90,0.24444444444444444,93.16
121,Morgane Aveline,FRA,4769,,1244.25,15,19,4,0,0,0,0,22,52,32,75,91,0.24175824175824176,82.95
122,Natalie Bärtschi,SUI,4293,,1234.6599999999999,27,31,4,0,0,0,0,45,105,121,233,151,0.2980132450331126,45.73
123,Julia Pinggera,AUT,1227,,1231.32,17,21,4,0,0,0,0,41,74,91,151,101,0.40594059405940597,72.43
124,Melody Sekikawa,JPN,14008,,1227.0,6,10,4,0,0,0,0,22,40,55,106,46,0.4782608695652174,204.5
125,Nina Caprez,SUI,5514,,1186.5,5,8,3,0,0,0,0,22,35,52,58,37,0.5945945945945946,237.3
126,Tomoko Kajima,JPN,2310,,1167.5,6,10,4,0,0,0,0,20,37,60,100,46,0.43478260869565216,194.58
127,Yuetong Zhang,CHN,3009,160.0,1152.0,14,18,4,0,0,0,0,23,62,47,155,86,0.26744186046511625,82.29
128,Holly Toothill,GBR,694,165.0,1130.99,17,20,3,0,0,0,0,32,74,81,187,97,0.32989690721649484,66.53
129,Saki Kikuchi,JPN,2356,168.0,1124.83,9,12,2,1,0,0,0,22,47,56,111,57,0.38596491228070173,124.98
130,Ryu Nakagawa,JPN,11783,171.0,1123.0,10,14,4,0,0,0,0,25,51,49,118,66,0.3787878787878788,112.3
131,Manon Chapet,FRA,4760,,1117.0,13,15,2,0,0,0,0,29,56,63,93,73,0.3972602739726027,85.92
132,Francesca Metcalf,USA,4830,,1093.0,8,10,2,0,0,0,0,14,35,26,62,48,0.2916666666666667,136.62
133,Asaki Hagiwara,JPN,2258,,1054.9099999999999,13,15,2,0,0,0,0,15,36,29,68,73,0.2054794520547945,81.15
134,Therese Johansen,NOR,6237,,1020.0,3,6,3,0,0,0,0,14,20,29,34,27,0.5185185185185185,340.0
135,Lisa Chulich,USA,1769,,1016.6999999999999,17,19,2,0,0,0,0,27,52,55,122,93,0.2903225806451613,59.81
136,Andrea Ebner,ITA,859,,959.3299999999999,18,20,2,0,0,0,0,39,65,95,125,98,0.3979591836734694,53.3
137,Lamu Renqing,CHN,2936,,931.16,15,17,2,0,0,0,0,20,47,43,91,83,0.24096385542168675,62.08
138,Tamara Ulzhabayeva,KAZ,3357,,893.0,11,14,3,0,0,0,0,20,45,44,109,67,0.29850746268656714,81.18
139,Jennifer Wood,GBR,653,,880.41,25,26,1,0,0,0,0,35,79,94,197,129,0.2713178294573643,35.22
140,Manon Hily,FRA,462,154.0,871.16,12,14,2,0,0,0,0,32,47,78,102,68,0.47058823529411764,72.6
141,Petra Ruzickova,CZE,1375,,864.3299999999999,21,22,1,0,0,0,0,34,71,91,192,109,0.3119266055045872,41.16
142,Kaori Hosono,JPN,6309,,863.49,12,14,2,0,0,0,0,11,37,22,64,68,0.16176470588235295,71.96
143,Urska Repusic,SLO,1164,,855.25,8,11,3,0,0,0,0,21,35,57,86,52,0.40384615384615385,106.91
144,Katy Whittaker,GBR,5670,,843.5,6,9,3,0,0,0,0,14,33,20,77,42,0.3333333333333333,140.58
145,Ashima Shiraishi,USA,1812,155.0,834.0,6,7,1,0,0,0,0,16,24,26,43,34,0.47058823529411764,139.0
146,Sandrine Levet,FRA,430,,825.0,2,5,2,1,0,0,0,15,18,34,33,22,0.6818181818181818,412.5
147,Katarzyna Ekwinska,POL,2850,,819.16,13,14,1,0,0,0,0,20,51,54,129,69,0.2898550724637681,63.01
148,Magali Hayen,BEL,4762,,816.66,16,16,0,0,0,0,0,26,55,51,93,80,0.325,51.04
149,Marine Delpierre,FRA,4768,,810.5,6,8,2,0,0,0,0,9,25,16,48,38,0.23684210526315788,135.08
150,Maya Madere,USA,1824,168.0,809.8299999999999,15,17,2,0,0,0,0,21,55,40,136,83,0.25301204819277107,53.99
151,Tabea Schwab,SUI,3887,,800.5,15,16,1,0,0,0,0,24,51,53,98,79,0.3037974683544304,53.37
152,Leonie Lochner,GER,2018,,794.16,15,15,0,0,0,0,0,16,48,61,130,75,0.21333333333333335,52.94
153,Aika Tajima,JPN,2287,,777.0,4,5,1,0,0,0,0,12,20,17,34,24,0.5,194.25
154, Ayari Sakamoto,JPN,2339,,775.0,6,8,2,0,0,0,0,13,25,19,44,38,0.34210526315789475,129.17
155,Emilie Verdier,FRA,4699,,773.5,6,9,3,0,0,0,0,20,34,28,48,42,0.47619047619047616,128.92
156,Valeri Kremer,ISR,3979,,772.8199999999999,24,25,1,0,0,0,0,34,71,128,245,124,0.27419354838709675,32.2
157,Iuliia Panteleeva,RUS,118,,770.0,11,13,2,0,0,0,0,22,49,48,103,63,0.3492063492063492,70.0
158,Audrey Seguy,GBR,5630,,749.5,5,7,2,0,0,0,0,17,27,31,59,33,0.5151515151515151,149.9
159,Maëlys Agrapart,FRA,535,,746.3299999999999,10,12,2,0,0,0,0,24,39,67,95,58,0.41379310344827586,74.63
160,Emilie Abgrall,FRA,5040,,739.5,4,6,2,0,0,0,0,14,22,28,32,28,0.5,184.88
161,Claire Buhrfeind,USA,1751,,721.5,8,11,3,0,0,0,0,17,34,43,92,52,0.3269230769230769,90.19
162,Samantha Berry,AUS,4759,,710.16,5,8,3,0,0,0,0,15,29,25,38,37,0.40540540540540543,142.03
163,Thirza Carpenter,CAN,4814,,705.0,3,6,3,0,0,0,0,10,19,14,24,27,0.37037037037037035,235.0
164,Irina Kuzmenko,RUS,87,171.0,693.0,8,10,2,0,0,0,0,17,31,57,92,48,0.3541666666666667,86.62
165,Allison Vest,CAN,1579,171.0,685.16,16,17,1,0,0,0,0,24,58,84,169,84,0.2857142857142857,42.82
166,Anna Vollenwyder,AUT,6238,,684.0,10,11,1,0,0,0,0,21,39,53,83,54,0.3888888888888889,68.4
167,Gill Peet,GBR,6075,,680.0,9,11,2,0,0,0,0,16,29,43,59,53,0.3018867924528302,75.56
168,Camille Faille,FRA,471,,663.0,10,12,2,0,0,0,0,21,42,45,76,58,0.3620689655172414,66.3
169,Sienna Kopf,USA,1870,174.0,660.5,11,12,1,0,0,0,0,24,41,59,108,59,0.4067796610169492,60.05
170,Johanna Holfeld,GER,3109,,660.0,10,11,1,0,0,0,0,18,42,37,101,54,0.3333333333333333,66.0
171,Serika Okawachi,JPN,2349,158.0,644.5,5,7,1,1,0,0,0,15,25,34,60,33,0.45454545454545453,128.9
172,Maja Stremfelj,SLO,1121,,644.33,4,6,2,0,0,0,0,14,21,34,36,28,0.5,161.08
173,Minseon Kim,KOR,2055,,637.5,5,7,2,0,0,0,0,8,18,18,41,33,0.24242424242424243,127.5
174,Kseniia Alekseeva,RUS,4735,,624.5,5,6,1,0,0,0,0,16,27,25,41,29,0.5517241379310345,124.9
175,Rebecca Frangos,CAN,1577,,619.25,14,14,0,0,0,0,0,2,28,8,70,70,0.02857142857142857,44.23
176,Molly Thompson-Smith,GBR,642,159.0,610.8299999999999,13,15,2,0,0,0,0,14,49,29,120,73,0.1917808219178082,46.99
177,Valentina Aguado,ARG,3161,,606.0,20,20,0,0,0,0,0,27,61,63,142,100,0.27,30.3
178,Noa Shiran,ISR,4002,,593.5,7,8,1,0,0,0,0,13,22,32,51,39,0.3333333333333333,84.79
179,Hannah Slaney,GBR,669,,580.0,10,11,1,0,0,0,0,18,40,56,90,54,0.3333333333333333,58.0
180,Martina Buršíková,SVK,12348,,580.0,2,4,2,0,0,0,0,7,13,19,26,18,0.3888888888888889,290.0
181,Hélène Janicot,FRA,455,165.0,577.9,6,8,2,0,0,0,0,14,27,30,49,38,0.3684210526315789,96.32
182,Vanda Michalkova,SVK,2771,,559.0,8,9,1,0,0,0,0,8,23,15,37,44,0.18181818181818182,69.88
183,Holly Reid,CAN,4837,,558.65,9,9,0,0,0,0,0,2,13,7,24,45,0.044444444444444446,62.07
184,Tara Hayes,GBR,643,,557.16,13,14,1,0,0,0,0,21,45,61,103,69,0.30434782608695654,42.86
185,Charlotte Andre,FRA,526,,557.0,6,7,1,0,0,0,0,13,28,26,57,34,0.38235294117647056,92.83
186,Laura Loikas,FIN,2811,,549.65,11,11,0,0,0,0,0,7,28,36,127,55,0.12727272727272726,49.97
187,Luce Douady,FRA,11620,,545.0,1,3,1,1,0,0,0,8,13,16,18,13,0.6153846153846154,545.0
188,Eliska Adamovska,CZE,1400,162.0,542.25,9,10,1,0,0,0,0,13,33,36,94,49,0.2653061224489796,60.25
189,Franziska Saurwein,AUT,5851,,540.0,4,6,2,0,0,0,0,12,22,17,35,28,0.42857142857142855,135.0
190,Xuhua Pan,CHN,2933,,537.0,6,7,1,0,0,0,0,5,16,12,31,34,0.14705882352941177,89.5
191,Lisa Rands,USA,5129,,535.0,2,4,2,0,0,0,0,3,13,4,20,18,0.16666666666666666,267.5
192,Tjasa Slemensek,SLO,1148,168.0,531.0,7,9,2,0,0,0,0,20,32,42,74,43,0.46511627906976744,75.86
193,Miwa Oba,JPN,2281,,529.37,11,12,1,0,0,0,0,14,40,36,97,59,0.23728813559322035,48.12
194,Atori Yasuda,JPN,6050,,529.0,7,8,1,0,0,0,0,11,30,26,66,39,0.28205128205128205,75.57
195,Yuki Matsushima,JPN,6076,,526.66,9,10,1,0,0,0,0,2,17,4,41,49,0.04081632653061224,58.52
196,Courtney Sanders,USA,6057,,518.5,6,7,1,0,0,0,0,7,20,11,43,34,0.20588235294117646,86.42
197,Grace Mckeehan,USA,1752,,514.0,7,8,1,0,0,0,0,12,26,25,58,39,0.3076923076923077,73.43
198,Andrea Rojas,ECU,3209,,508.5,6,6,0,0,0,0,0,1,9,4,23,30,0.03333333333333333,84.75
199,Sunniva Øvre-Eide,NOR,3098,,504.33,3,3,0,0,0,0,0,2,4,10,18,15,0.13333333333333333,168.11
200,Ting-Chen Yao,TPE,2160,,500.0,1,1,0,0,0,0,0,0,0,0,0,5,0.0,500.0
201,Di Niu,CHN,2941,,492.83,7,9,2,0,0,0,0,10,31,29,69,43,0.23255813953488372,70.4
202,Tiffany Melius,AUS,2503,,479.0,8,9,1,0,0,0,0,5,23,13,66,44,0.11363636363636363,59.88
203,Chauncenia Cox,USA,4832,,478.0,3,5,2,0,0,0,0,6,17,13,35,23,0.2608695652173913,159.33
204,Mélanie Son,FRA,5044,,472.15999999999997,4,5,1,0,0,0,0,13,19,25,23,24,0.5416666666666666,118.04
205,Eliška Bulenová,CZE,1439,,467.66,3,4,1,0,0,0,0,6,12,25,46,19,0.3157894736842105,155.89
206,Seunghyun Kim,KOR,2051,,466.0,7,8,1,0,0,0,0,6,19,26,57,39,0.15384615384615385,66.57
207,Margaux Pucheux,FRA,481,,463.0,5,6,1,0,0,0,0,5,13,10,26,29,0.1724137931034483,92.6
208,Karolina Nevelikova,CZE,6048,,462.25,7,8,1,0,0,0,0,10,17,14,25,39,0.2564102564102564,66.04
209,Wangmu Renzeng,CHN,2940,,458.5,5,7,2,0,0,0,0,2,9,7,24,33,0.06060606060606061,91.7
210,Puntarika Tunyavanich,THA,3925,,457.5,9,10,1,0,0,0,0,9,26,13,52,49,0.1836734693877551,50.83
211,Annalisa De Marco,ITA,862,,451.49,11,12,1,0,0,0,0,21,35,60,79,59,0.3559322033898305,41.04
212,Olga Bezhko,UKR,5493,,447.15999999999997,3,4,1,0,0,0,0,13,16,17,21,19,0.6842105263157895,149.05
213,Chelsea Rude,USA,5249,,445.0,2,4,2,0,0,0,0,4,12,6,21,18,0.2222222222222222,222.5
214,Vanessa Si Yinn Teng,SGP,3632,169.0,437.5,8,9,1,0,0,0,0,14,29,23,76,44,0.3181818181818182,54.69
215,Michaela Kiersch,USA,1718,,427.5,3,4,1,0,0,0,0,3,10,6,25,19,0.15789473684210525,142.5
216,Andrea Brigitta Szekely,HUN,5012,,422.0,4,5,1,0,0,0,0,5,15,9,46,24,0.20833333333333334,105.5
217,Mattea Pötzi,AUT,1266,160.0,421.5,5,6,1,0,0,0,0,8,18,30,59,29,0.27586206896551724,84.3
218,Yael Taub,ISR,3986,,419.32,21,22,1,0,0,0,0,21,59,64,157,109,0.1926605504587156,19.97
219,Erin Mcneice,GBR,11468,,415.5,5,6,1,0,0,0,0,12,24,32,67,29,0.41379310344827586,83.1
220,Alexandra Ladurner,ITA,853,,406.0,5,6,1,0,0,0,0,9,22,25,46,29,0.3103448275862069,81.2
221,Victoria Weldon,CAN,5875,,405.5,3,4,1,0,0,0,0,3,12,6,23,19,0.15789473684210525,135.17
222,Cicada Jenerik,USA,1717,,405.0,2,3,1,0,0,0,0,4,8,6,12,14,0.2857142857142857,202.5
223,Anne-Sophie Koller,SUI,3426,160.0,397.33,11,12,1,0,0,0,0,13,40,42,117,59,0.22033898305084745,36.12
