name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_rate,ranking_per_event_B
Carlos Preciado Brión,ESP,6086,,16.5,2,2,0,0,0,0,0,2,5,6,13,10,0.2,8.25
Petar Ivanov,BUL,2428,,16.5,4,4,0,0,0,0,0,4,10,12,23,20,0.2,4.125
Marián Šeliga,SVK,6056,,16.5,7,7,0,0,0,0,0,3,9,15,45,35,0.08571428571428572,2.357142857142857
Babek Ibadov,AZE,6155,,16.42,3,3,0,0,0,0,0,0,0,0,0,15,0.0,5.473333333333334
Miguel Angel Hernandez Medina,MEX,5802,,16.33,3,3,0,0,0,0,0,0,3,0,10,15,0.0,5.4433333333333325
Nejc Cujes,SLO,5979,,16.33,2,2,0,0,0,0,0,3,8,7,10,10,0.3,8.165
Shinyeong Yun,KOR,2061,166.0,16.33,2,2,0,0,0,0,0,1,6,4,21,10,0.1,8.165
Victor Dragoi,ROU,6152,,16.33,4,4,0,0,0,0,0,3,12,7,24,20,0.15,4.0825
Yohann Dechamps,FRA,489,,16.0,1,1,0,0,0,0,0,1,1,5,5,5,0.2,16.0
Soya Shimada,JPN,11527,,16.0,1,1,0,0,0,0,0,1,4,2,10,5,0.2,16.0
Cole Skinner,USA,1748,,16.0,1,1,0,0,0,0,0,1,2,3,7,5,0.2,16.0
Pierre Le Cerf,FRA,546,,16.0,1,1,0,0,0,0,0,1,5,3,19,5,0.2,16.0
Martin Watson,GBR,6079,,16.0,2,2,0,0,0,0,0,1,6,4,11,10,0.1,8.0
Yeo Marcus ,SGP,6405,,16.0,2,2,0,0,0,0,0,3,4,17,14,10,0.3,8.0
Dohyeon Kim,KOR,11859,180.0,15.66,4,4,0,0,0,0,0,0,6,0,11,20,0.0,3.915
Stefan Bednar,SVK,2761,,15.66,11,11,0,0,0,0,0,3,19,7,65,55,0.05454545454545454,1.4236363636363636
Franz Schmidtlein,GER,4978,,15.6,3,3,0,0,0,0,0,2,7,2,12,15,0.13333333333333333,5.2
Stefano Mastrocola,BRA,5873,,15.5,2,2,0,0,0,0,0,1,4,3,15,10,0.1,7.75
Jan Jeliga,CZE,1371,,15.5,3,3,0,0,0,0,0,3,6,9,17,15,0.2,5.166666666666667
Tzu-Hsiang Chin,TPE,6406,,15.33,2,2,0,0,0,0,0,2,3,8,9,10,0.2,7.665
Hanwool Kim,KOR,2041,,15.16,6,6,0,0,0,0,0,7,18,23,55,30,0.23333333333333334,2.526666666666667
Ryan Sewell,USA,6073,,15.0,1,1,0,0,0,0,0,1,4,1,5,5,0.2,15.0
Stefan Avramov,BUL,4826,,15.0,3,3,0,0,0,0,0,2,8,6,27,15,0.13333333333333333,5.0
Terdpol Artaui,THA,6308,,15.0,1,1,0,0,0,0,0,0,0,0,0,5,0.0,15.0
Jan Kriz,CZE,1372,190.0,15.0,3,3,0,0,0,0,0,0,2,0,7,15,0.0,5.0
Marius Emil Danila,ROU,5993,,15.0,1,1,0,0,0,0,0,0,1,0,1,5,0.0,15.0
Pemba Sherpa,NEP,4179,,14.75,1,1,0,0,0,0,0,0,0,0,0,5,0.0,14.75
Levin Schilling,GER,3878,,14.75,2,2,0,0,0,0,0,2,7,5,21,10,0.2,7.375
Paul Emmanuel Ryan,SGP,3640,,14.5,3,3,0,0,0,0,0,4,9,13,20,15,0.26666666666666666,4.833333333333333
Gulbala Safarov,AZE,6322,,14.42,2,2,0,0,0,0,0,0,0,0,0,10,0.0,7.21
Lasha Mitaishvili,GEO,6320,,14.42,1,1,0,0,0,0,0,0,0,0,0,5,0.0,14.42
Amil Aliyev,AZE,6264,,14.42,1,1,0,0,0,0,0,0,0,0,0,5,0.0,14.42
Ramel Rahimkhanov ,AZE,6321,,14.42,1,1,0,0,0,0,0,0,0,0,0,5,0.0,14.42
Övgün Yildirim,TUR,4067,,14.42,6,6,0,0,0,0,0,2,4,3,8,30,0.06666666666666667,2.4033333333333333
Viliam Ferčák,SVK,6245,,14.0,2,2,0,0,0,0,0,2,4,10,10,10,0.2,7.0
Jekyoung Hyun,KOR,6408,,14.0,2,2,0,0,0,0,0,1,2,3,6,10,0.1,7.0
Brice Martine,FRA,5871,,14.0,2,2,0,0,0,0,0,2,6,3,9,10,0.2,7.0
Nikola Kramaric,CRO,3036,,14.0,3,3,0,0,0,0,0,0,4,0,16,15,0.0,4.666666666666667
Janghyuk Kim,KOR,5450,,14.0,1,1,0,0,0,0,0,1,2,2,4,5,0.2,14.0
Mohammad Jafari Mahmoudabadi,IRI,3458,,13.66,3,3,0,0,0,0,0,3,6,9,13,15,0.2,4.553333333333334
Nicolas Pacheco,ARG,6394,,13.5,3,3,0,0,0,0,0,2,4,10,15,15,0.13333333333333333,4.5
Nikolai Buhl,GER,6278,,13.5,1,1,0,0,0,0,0,2,3,7,7,5,0.4,13.5
Daniel Gingras,CAN,6176,,13.5,2,2,0,0,0,0,0,1,2,1,6,10,0.1,6.75
Marco Müller,SUI,2790,,13.5,4,4,0,0,0,0,0,4,13,10,30,20,0.2,3.375
Ryosuke Hibino,JPN,2295,,13.5,1,1,0,0,0,0,0,1,4,1,14,5,0.2,13.5
Ardch Intrachupongse,THA,13627,,13.5,2,2,0,0,0,0,0,2,5,6,13,10,0.2,6.75
Jonathan Redmond,IRL,6338,,13.5,2,2,0,0,0,0,0,1,5,4,13,10,0.1,6.75
Hyunjae Kim,KOR,2062,,13.33,2,2,0,0,0,0,0,0,0,0,0,10,0.0,6.665
Stephane Hanssens,BEL,308,,13.33,5,5,0,0,0,0,0,8,13,13,21,25,0.32,2.666
Fatchur Roji,INA,3268,,13.25,4,4,0,0,0,0,0,6,14,19,41,20,0.3,3.3125
Nikola Petrov,BUL,2422,,13.16,11,11,0,0,0,0,0,9,24,26,56,55,0.16363636363636364,1.1963636363636363
Marcin Dzienski,POL,2845,166.0,13.07,6,6,0,0,0,0,0,0,0,0,0,30,0.0,2.1783333333333332
Ghislain Losier,CAN,5870,,13.0,2,2,0,0,0,0,0,0,6,0,19,10,0.0,6.5
