,name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_percentage,ranking_per_event_B
0,Kilian Fischhuber,AUT,1204,,32477.5,48,128,43,37,15,6,9,410,502,683,726,560,0.7321428571428571,676.61
1,Dmitrii Sharafutdinov,RUS,53,,31592.5,58,140,47,35,11,8,3,429,554,839,984,618,0.6941747572815534,544.7
2,Rustam Gelmanov,RUS,60,,30305.98,65,153,52,36,6,6,7,446,587,825,975,677,0.6587887740029542,466.25
3,Tomoa Narasaki,JPN,2276,170.0,28998.0,52,125,45,28,7,16,3,369,499,775,880,552,0.6684782608695652,557.65
4,Kokoro Fujii,JPN,2272,176.0,26669.0,59,138,51,28,6,1,3,400,543,934,1088,611,0.6546644844517185,452.02
5,Aleksey Rubtsov,RUS,79,178.0,25862.66,57,133,50,26,3,1,10,359,516,795,1021,589,0.6095076400679117,453.73
6,Sean Mccoll,CAN,1559,169.0,25270.97,74,147,50,23,2,6,6,395,550,730,919,662,0.5966767371601208,341.5
7,Jan Hojer,GER,3422,188.0,24628.16,61,127,45,21,6,4,3,358,499,743,912,569,0.6291739894551845,403.74
8,Jernej Kruder,SLO,1124,179.0,24538.489999999998,91,158,52,15,3,4,1,391,630,743,1093,723,0.5408022130013831,269.65
9,Guillaume Glairon Mondet,FRA,436,,24440.989999999998,57,129,50,22,3,5,1,346,493,610,814,573,0.6038394415357766,428.79
10,Jongwon Chon,KOR,2052,177.0,24332.5,50,121,45,26,5,2,4,349,458,683,874,534,0.653558052434457,486.65
11,Tsukuru Hori,JPN,2255,,21258.82,68,131,48,15,1,2,2,350,508,686,962,592,0.5912162162162162,312.63
12,Jakob Schubert,AUT,1214,176.0,20590.49,54,111,38,19,3,2,5,326,441,640,817,498,0.6546184738955824,381.31
13,Yoshiyuki Ogata,JPN,2309,172.0,19825.66,49,104,38,17,3,3,5,301,419,681,807,465,0.6473118279569893,404.61
14,Rei Sugimoto,JPN,2257,172.0,19110.0,50,109,44,15,2,1,2,300,426,732,864,486,0.6172839506172839,382.2
15,Adam Ondra,CZE,1364,186.0,18380.0,27,73,26,20,7,7,3,237,291,471,532,319,0.7429467084639498,680.74
16,Gabriele Moroni,ITA,849,,13729.66,44,83,29,10,1,3,0,220,329,448,584,376,0.5851063829787234,312.04
17,Jorg Verhoeven,NED,3577,,12408.5,44,82,30,8,0,1,5,200,305,406,558,372,0.5376344086021505,282.01
18,Manuel Cornu,FRA,490,177.0,11160.25,40,72,24,8,1,0,2,172,277,458,619,328,0.524390243902439,279.01
19,Jeremy Bonder,FRA,470,,10914.82,41,77,27,9,0,0,1,191,285,407,554,349,0.5472779369627507,266.22
20,Klemen Becan,SLO,4716,,10860.16,40,74,26,8,0,2,0,167,270,332,481,336,0.49702380952380953,271.5
21,Jonas Baumann,GER,2822,,10351.07,46,77,27,4,1,0,1,164,290,280,449,354,0.4632768361581921,225.02
22,Mickael Mawem,FRA,523,179.0,9615.75,40,69,24,5,1,0,0,156,265,307,473,316,0.4936708860759494,240.39
23,Thomas Caleyron,FRA,441,,9089.0,33,61,24,4,0,0,0,156,229,275,358,277,0.5631768953068592,275.42
24,Tomoaki Takata,JPN,2291,175.0,8181.5,34,59,21,4,0,0,1,136,239,347,542,270,0.5037037037037037,240.63
25,Anze Peharc,SLO,1138,177.0,7853.16,32,57,19,6,0,1,1,136,222,326,453,260,0.5230769230769231,245.41
26,Alban Levier,FRA,486,,7784.98,33,57,20,4,1,0,1,150,224,294,380,261,0.5747126436781609,235.91
27,Mejdi Schalck,FRA,11675,172.0,7709.0,14,32,12,6,3,2,2,84,123,198,255,142,0.5915492957746479,550.64
28,Martin Stranik,CZE,1361,178.0,7365.9,44,64,17,3,0,2,0,140,239,324,524,300,0.4666666666666667,167.41
29,Mykhaylo Shalagin,UKR,4776,,7327.5,29,53,17,7,0,0,1,120,195,240,336,241,0.4979253112033195,252.67
30,Loïc Gaidioz,FRA,4773,,7327.0,27,53,22,4,0,0,0,113,196,200,313,239,0.47280334728033474,271.37
31,Yannick Flohé,GER,3131,178.0,7190.5,26,49,19,4,1,0,0,126,186,337,446,222,0.5675675675675675,276.56
32,Keita Watabe,JPN,2265,173.0,6979.99,30,48,13,5,1,0,2,120,183,237,305,222,0.5405405405405406,232.67
33,Lukas Ennemoser,AUT,1212,,6955.66,35,55,17,3,0,0,1,134,211,254,389,255,0.5254901960784314,198.73
34,Gregor Vezonik,SLO,1131,176.0,6876.66,39,58,15,4,1,0,2,124,218,294,443,271,0.4575645756457565,176.32
35,Cédric Lachat,SUI,3129,,6734.0,16,35,14,5,0,2,0,103,144,218,280,156,0.6602564102564102,420.88
36,Daniel Woods,USA,1707,,6713.5,15,34,13,6,1,2,1,99,132,181,223,151,0.6556291390728477,447.57
37,Meichi Narasaki,JPN,2307,188.0,6439.66,22,41,14,5,0,2,0,111,161,265,315,186,0.5967741935483871,292.71
38,David Barrans,GBR,634,,6323.15,52,71,16,3,0,0,0,154,270,318,507,336,0.4583333333333333,121.6
39,Rolands Rugens,LAT,4150,,6202.01,43,61,16,2,0,0,0,129,219,292,458,287,0.44947735191637633,144.23
40,Yuji Inoue,JPN,2348,,6069.99,30,49,18,1,0,0,0,124,186,389,447,226,0.5486725663716814,202.33
41,Stefan Danker,GER,3353,,6034.33,32,50,16,2,0,0,0,119,193,224,368,232,0.5129310344827587,188.57
42,Stewart Watson,GBR,4774,,6008.0,24,42,14,4,0,0,0,106,165,179,271,192,0.5520833333333334,250.33
43,Dohyun Lee,KOR,2101,174.0,5950.33,11,26,10,5,1,2,1,69,101,158,233,115,0.6,540.94
44,Nathaniel Coleman,USA,1778,182.0,5885.5,22,40,14,4,0,2,0,103,153,208,260,182,0.5659340659340659,267.52
45,Michael Piccolruaz,ITA,857,178.0,5860.99,49,67,16,2,0,1,0,141,261,276,581,317,0.444794952681388,119.61
46,Stéphan Julien,FRA,9191,,5688.82,28,44,12,4,1,0,1,98,164,164,256,204,0.4803921568627451,203.17
47,Sean Bailey,USA,1741,163.0,5501.49,27,41,11,3,1,1,0,98,160,245,370,191,0.5130890052356021,203.76
48,Alex Khazanov,ISR,3983,,5389.0,49,64,14,1,1,0,0,132,241,334,626,305,0.43278688524590164,109.98
49,James Kassay,AUS,2482,,5053.5599999999995,24,40,13,3,0,0,0,105,150,237,279,184,0.5706521739130435,210.56
50,Colin Duffy,USA,1929,170.0,4974.16,17,28,9,2,1,0,0,64,112,210,281,129,0.49612403100775193,292.6
51,Nicky De Leeuw,NED,3579,,4720.32,38,50,11,1,0,0,0,104,192,222,343,238,0.4369747899159664,124.22
52,Kai Harada,JPN,2332,169.0,4707.16,20,34,11,3,0,1,0,86,132,178,249,156,0.5512820512820513,235.36
53,Alexander Megos,GER,2574,175.0,4607.66,20,33,13,0,0,0,0,84,136,249,290,152,0.5526315789473685,230.38
54,David Lama,AUT,1213,,4605.0,8,19,7,4,2,0,2,54,76,73,100,84,0.6428571428571429,575.62
55,Nicolai Uznik,AUT,1256,173.0,4430.0,19,33,11,3,0,0,0,71,125,171,289,151,0.47019867549668876,233.16
56,Taisei Ishimatsu,JPN,2337,,4409.16,16,30,12,2,0,0,1,77,122,162,256,136,0.5661764705882353,275.57
57,Thomas Tauporn,GER,3124,,4322.41,12,25,9,4,0,1,1,80,99,217,200,112,0.7142857142857143,360.2
58,Andrzej Mecherzynski-Wiktor,POL,2833,,4129.4,30,41,10,1,0,0,0,103,167,225,342,194,0.5309278350515464,137.65
59,Sergii Topishko,UKR,1472,,4098.16,31,43,11,1,0,0,0,99,161,230,296,203,0.4876847290640394,132.2
60,Lucas Preti,ITA,4778,,4058.16,20,32,11,1,0,0,0,74,126,165,267,148,0.5,202.91
61,Sorato Anraku,JPN,13040,,4012.0,7,18,6,5,1,1,0,55,68,121,133,79,0.6962025316455697,573.14
62,Maximillian Milne,GBR,688,166.0,3996.0,16,28,10,2,0,1,0,66,106,155,229,128,0.515625,249.75
63,Wouter Jongeneelen,NED,3576,,3942.0,31,44,11,2,0,0,0,73,159,111,251,207,0.3526570048309179,127.16
64,Francois Kaiser,FRA,4781,,3910.33,18,28,8,2,0,0,1,68,112,113,182,130,0.5230769230769231,217.24
65,Mathias Conrad,GER,3890,,3820.13,31,42,11,0,0,0,0,90,155,156,286,199,0.45226130653266333,123.23
66,Vadim Timonov,RUS,67,,3597.0,23,35,10,2,0,0,0,75,135,178,302,163,0.4601226993865031,156.39
67,Tyler Landman,GBR,631,,3470.3199999999997,23,36,11,2,0,0,0,70,133,175,297,167,0.41916167664670656,150.88
68,Simon Lorenzi,BEL,318,168.0,3412.5,23,33,8,2,0,0,0,76,124,222,287,155,0.49032258064516127,148.37
69,Nathan Phillips,GBR,646,,3385.0,37,48,11,0,0,0,0,95,179,193,351,229,0.4148471615720524,91.49
70,Edward Feehally,GBR,4818,,3324.66,22,33,8,3,0,0,0,72,120,156,240,154,0.4675324675324675,151.12
71,Matthias Müller,SUI,4726,,3199.0,13,24,9,2,0,0,0,43,83,82,140,109,0.3944954128440367,246.08
72,Remo Sommer,SUI,4775,,3123.33,25,34,9,0,0,0,0,72,124,128,185,161,0.4472049689440994,124.93
73,Gholamali Baratzadeh,IRI,3460,,3100.16,24,31,7,0,0,0,0,75,127,172,285,148,0.5067567567567568,129.17
74,Keita Dohi,JPN,2334,,3062.83,18,27,7,2,0,0,0,66,107,154,200,126,0.5238095238095238,170.16
75,Toby Roberts,GBR,11490,,2969.5,7,15,6,2,1,0,1,37,58,106,156,67,0.5522388059701493,424.21
76,Paul Jenft,FRA,547,186.0,2901.5,9,17,5,3,0,0,1,41,72,117,184,77,0.5324675324675324,322.39
77,Stefan Scarperi,ITA,850,,2896.58,36,43,7,0,0,0,0,89,158,230,355,208,0.42788461538461536,80.46
78,Christian Core,ITA,4463,,2891.0,17,25,7,1,0,0,1,50,89,93,186,117,0.42735042735042733,170.06
79,David Firnenburg,GER,3111,,2817.5,16,25,7,2,0,0,0,61,92,126,157,116,0.5258620689655172,176.09
80,Mauricio Huerta,MEX,5820,,2659.07,20,28,8,0,0,0,0,58,98,152,238,132,0.4393939393939394,132.95
81,Rei Kawamata,JPN,2385,172.0,2651.66,7,16,6,3,0,0,1,47,66,106,133,71,0.6619718309859155,378.81
82,Nicolas Collin,BEL,320,179.0,2520.0,23,32,7,2,0,0,0,59,119,165,302,151,0.39072847682119205,109.57
83,Gérome Pouvreau,FRA,432,,2494.5,10,17,5,2,0,0,0,39,62,66,99,78,0.5,249.45
84,Makoto Yamauchi,JPN,2280,,2389.25,18,25,7,0,0,0,0,55,92,138,184,118,0.4661016949152542,132.74
85,Sam Avezou,FRA,532,170.0,2324.49,11,17,5,1,0,0,1,37,66,88,132,79,0.46835443037974683,211.32
86,Hannes Van Duysen,BEL,373,175.0,2246.5,9,16,5,2,0,1,0,28,56,78,131,73,0.3835616438356164,249.61
87,Nimrod Marcus,ISR,3998,166.0,2199.8199999999997,26,33,6,1,0,0,0,59,121,135,240,158,0.37341772151898733,84.61
88,Jan-Luca Posch,AUT,1245,,2190.0099999999998,26,31,4,1,0,0,0,50,116,134,315,150,0.3333333333333333,84.23
89,Paul Robinson,USA,4839,,2175.0,4,11,4,3,0,0,1,28,44,48,64,48,0.5833333333333334,543.75
90,Christopher Webb-Parsons,AUS,4844,,2127.5,19,25,5,1,0,0,0,57,94,127,192,119,0.4789915966386555,111.97
91,Casper Ten Sijthoff,NED,4585,,2108.25,17,23,6,0,0,0,0,40,89,77,150,109,0.3669724770642202,124.01
92,Hamish Mcarthur,GBR,696,181.0,2088.0,11,18,7,0,0,0,0,41,72,91,144,83,0.4939759036144578,189.82
93,Yufei Pan,CHN,2947,173.0,2082.08,26,31,5,0,0,0,0,59,117,172,344,150,0.3933333333333333,80.08
94,Benjamin Blaser,SUI,3779,,2062.7400000000002,44,50,6,0,0,0,0,90,174,212,398,244,0.36885245901639346,46.88
