,name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_percentage,ranking_per_event_B
94,Chaehyun Seo,KOR,2080,163.0,1790.0,6,12,4,2,0,0,0,32,47,71,106,54,0.5925925925925926,298.3333333333333
95,Rong Jiang,CHN,2935,,1784.6599999999999,22,29,7,0,0,0,0,27,79,68,172,138,0.1956521739130435,81.12090909090908
96,Sandra Lettner,AUT,1270,161.0,1715.0,11,16,4,1,0,0,0,32,61,74,142,75,0.4266666666666667,155.9090909090909
97,Juliette Danion,FRA,5280,,1665.0,4,10,4,2,0,0,0,23,33,28,46,44,0.5227272727272727,416.25
98,Elnaz Rekabi,IRI,3465,,1653.5,14,19,5,0,0,0,0,36,69,91,157,90,0.4,118.10714285714286
99,Laura Rogora,ITA,928,152.0,1653.0,15,20,5,0,0,0,0,38,73,110,215,95,0.4,110.2
100,Elise Sethna,CAN,1568,,1612.83,17,22,5,0,0,0,0,21,54,40,111,105,0.2,94.87235294117647
101,Cloe Coscoy,USA,11813,,1590.0,6,12,6,0,0,0,0,27,43,70,108,54,0.5,265.0
102,Therese Johannesen,NOR,5788,,1579.5,6,11,5,0,0,0,0,31,45,55,65,50,0.62,263.25
103,Stacey Weldon,CAN,1557,,1565.66,11,16,5,0,0,0,0,19,46,40,97,75,0.25333333333333335,142.33272727272728
104,Tiffany Hensley,USA,5874,,1518.0,5,9,3,1,0,0,0,12,32,14,57,41,0.2926829268292683,303.6
105,Flavy Cohaut,FRA,553,,1492.0,12,16,4,0,0,0,0,32,60,94,147,76,0.42105263157894735,124.33333333333333
106,Elizabeth Asher,USA,5295,,1485.5,8,14,6,0,0,0,0,22,50,51,113,64,0.34375,185.6875
107,Emily Phillips,GBR,693,170.0,1402.1599999999999,12,17,5,0,0,0,0,29,57,60,124,80,0.3625,116.84666666666665
108,Meagan Martin,USA,1708,,1304.25,14,19,5,0,0,0,0,22,58,68,157,90,0.24444444444444444,93.16071428571429
109,Sofya Yokoyama,SUI,4260,,1271.9899999999998,22,24,2,0,0,0,0,43,92,110,246,118,0.3644067796610169,57.81772727272726
110,Morgane Aveline,FRA,4769,,1244.25,15,19,4,0,0,0,0,22,52,32,75,91,0.24175824175824176,82.95
111,Julia Pinggera,AUT,1227,,1231.32,17,21,4,0,0,0,0,41,74,91,151,101,0.40594059405940597,72.43058823529411
